Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,existing_capacity,existing_capacity_unit,location_name,iteration
0,0,G$/GWp,175200,h,WINDOUT,24,0,7.318,GWp,MEX,first
1,0,G$/GWp,175200,h,WINDOUT,24,0,32.15463637,GWp,MEX,2030
2,0,G$/GWp,175200,h,WINDOUT,24,0,57.31427274,GWp,MEX,2035
3,0,G$/GWp,175200,h,WINDOUT,24,0,32.15463637,GWp,MEX,2040
4,0,G$/GWp,175200,h,WINDOUT,24,0,57.31427274,GWp,MEX,2045
5,0,G$/GWp,175200,h,WINDOUT,24,0,32.15463637,GWp,MEX,2050
6,0,G$/GWp,175200,h,WINDOUT,24,0,57.31427274,GWp,MEX,2055
7,0,G$/GWp,175200,h,WINDOUT,24,0,61.3134,GWp,USA,first
8,0,G$/GWp,175200,h,WINDOUT,24,0,0,GWp,USA,2030
9,0,G$/GWp,175200,h,WINDOUT,24,0,0,GWp,USA,2035
10,0,G$/GWp,175200,h,WINDOUT,24,0,0,GWp,USA,2040
11,0,G$/GWp,175200,h,WINDOUT,24,0,0,GWp,USA,2045
12,0,G$/GWp,175200,h,WINDOUT,24,0,0,GWp,USA,2050
13,0,G$/GWp,175200,h,WINDOUT,24,0,0,GWp,USA,2055
14,0,G$/GWp,175200,h,WINDOUT,24,0,4.51,GWp,CHL,first
15,0,G$/GWp,175200,h,WINDOUT,24,0,0,GWp,CHL,2030
16,0,G$/GWp,175200,h,WINDOUT,24,0,0,GWp,CHL,2035
17,0,G$/GWp,175200,h,WINDOUT,24,0,0,GWp,CHL,2040
18,0,G$/GWp,175200,h,WINDOUT,24,0,0,GWp,CHL,2045
19,0,G$/GWp,175200,h,WINDOUT,24,0,0,GWp,CHL,2050
20,0,G$/GWp,175200,h,WINDOUT,24,0,0,GWp,CHL,2055
